IDc	Lat	Long	NbArticles	IdClustDBScan	IdClustCham	isFusion
2051	46.0651730	11.1521660	4	0	0	No
2052	46.0658550	11.1525520	1	0	0	No
2053	46.0742070	13.2236820	2	0	0	No
2054	46.0747790	11.1217490	5	0	0	No
2055	46.0800310	13.2306120	2	0	0	No
2056	46.0804020	11.5543540	1	0	0	No
2057	46.0816500	13.2124300	1	0	0	No
2058	46.1092230	1.3689120	1	0	0	No
2059	46.1351970	6.1309560	1	0	0	No
2060	46.1445160	6.0813380	1	0	0	No
2061	46.1455920	11.5264610	1	0	0	No
2062	46.1472760	6.4101610	1	0	0	No
2063	46.1881460	11.1333710	3	0	0	No
2064	46.1886100	6.1334180	1	0	0	No
2065	46.1931300	-1.1889870	1	0	0	No
2066	46.1983920	6.1422960	3	0	0	No
2067	46.1996470	6.1422250	3	0	0	No
2068	46.2000320	6.1638790	1	0	0	No
2069	46.2306410	6.1080250	4	0	0	No
2070	46.2306830	6.1434780	2	0	0	No
2071	46.2331900	6.1231630	1	0	0	No
2072	46.2340250	6.0217570	1	0	0	No
2073	46.2550380	6.0801680	1	0	0	No
2074	46.2551090	6.0535910	3	0	0	No
2075	46.2794330	7.5394930	1	0	0	No
2076	46.2888750	2.7414960	1	0	0	No
2077	46.3728230	13.0922850	1	0	0	No
2078	46.4280830	11.3437460	1	0	0	No
2079	46.4348360	4.6579910	1	0	0	No
2080	46.4971670	11.8737720	1	0	0	No
2081	46.5171740	6.5181230	1	0	0	No
2082	46.5187420	6.5650760	2	0	0	No
2083	46.5187460	6.5637550	2	0	0	No
2084	46.5195990	6.5684920	1	0	0	No
2085	46.5199620	6.6335970	25	0	0	No
2086	46.5243040	6.6397970	1	0	0	No
2087	46.5278360	6.5720420	1	0	0	No
2088	46.5802240	0.3403750	4	0	0	No
2089	46.5956060	13.8543050	1	0	0	No
2090	46.5961550	13.8554690	1	0	0	No
2091	46.6507030	0.3747720	2	0	0	No
2092	46.6895140	11.6411470	1	0	0	No
2093	46.7093530	-2.3466240	1	0	0	No
2094	46.7557020	4.5382900	1	0	0	No
2095	46.7782220	7.1567610	1	0	0	No
2096	46.8064030	7.1536560	1	0	0	No
2097	46.8064300	7.1522630	1	0	0	No
2098	46.8335230	14.5395790	1	0	0	No
2099	46.8680200	14.4625400	1	0	0	No
2100	46.9300000	6.8147300	1	0	0	No
2101	46.9306670	7.4210510	1	0	0	No
2102	46.9326200	7.5104800	1	0	0	No
2103	46.9346470	7.3897160	1	0	0	No
2104	46.9440790	7.4482900	1	0	0	No
2105	46.9479220	7.4446080	13	0	0	No
2106	46.9504080	7.4381460	2	0	0	No
2107	46.9512740	7.4387920	2	0	0	No
2108	46.9691510	7.4654120	1	0	0	No
2109	46.9751550	1.6029880	1	0	0	No
2110	46.9900540	6.9245760	7	0	0	No
2111	46.9938200	6.9404910	1	0	0	No
2112	46.9970030	5.1534810	2	0	0	No
2113	46.9982100	6.9104860	1	0	0	No
2114	46.9982690	7.4513230	1	0	0	No
2115	47.0004260	6.9538540	1	0	0	No
2116	47.0581840	15.4606000	2	0	0	No
2117	47.0591600	15.4596400	2	0	0	No
2118	47.0639700	15.4533630	1	0	0	No
2119	47.0646540	15.4542450	1	0	0	No
2120	47.0654860	15.4468860	1	0	0	No
2121	47.0697500	15.4485680	1	0	0	No
2122	47.0741020	15.4482220	1	0	0	No
2123	47.0775610	15.4248960	2	0	0	No
2124	47.0778750	15.4251090	1	0	0	No
2125	47.0800230	15.4646680	1	0	0	No
2126	47.1388840	6.8919360	1	0	0	No
2127	47.1757030	8.5142300	2	0	0	No
2128	47.2045060	-1.5625850	3	0	0	No
2129	47.2088350	7.5322910	1	0	0	No
2130	47.2125450	7.5227140	1	0	0	No
2131	47.2183710	-1.5536210	8	0	0	No
2132	47.2243190	8.8186670	1	0	0	No
2133	47.2255540	8.6495090	1	0	0	No
2134	47.2378290	6.0240540	2	0	0	No
2135	47.2390000	8.1861730	1	0	0	No
2136	47.2394720	-1.5552730	1	0	0	No
2137	47.2405860	7.8235100	1	0	0	No
